9684 東証1部 (株)スクウェア・エニックス・ホールディングス（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","5430","5530","5370","5530","796900","5530"
"2018-01-05","5600","5620","5500","5560","454400","5560"
"2018-01-09","5610","5690","5600","5630","547200","5630"
"2018-01-10","5630","5650","5460","5520","494100","5520"
"2018-01-11","5490","5540","5420","5480","560800","5480"
"2018-01-12","5490","5540","5450","5460","421300","5460"
"2018-01-15","5500","5560","5500","5560","290700","5560"
"2018-01-16","5500","5600","5480","5570","487700","5570"
"2018-01-17","5640","5730","5580","5590","701300","5590"
"2018-01-18","5650","5650","5480","5480","548900","5480"
"2018-01-19","5520","5540","5420","5430","447100","5430"
"2018-01-22","5440","5450","5360","5390","381100","5390"
"2018-01-23","5450","5490","5400","5420","635500","5420"
"2018-01-24","5430","5470","5330","5350","644800","5350"
"2018-01-25","5270","5310","5240","5250","754800","5250"
"2018-01-26","5250","5270","5180","5200","929300","5200"
"2018-01-29","5190","5240","5110","5160","1081800","5160"
"2018-01-30","5110","5120","5010","5040","1120200","5040"
"2018-01-31","4980","5060","4970","4975","1188800","4975"
"2018-02-01","5040","5150","5020","5140","1195100","5140"
"2018-02-02","5120","5160","5090","5150","701300","5150"
"2018-02-05","5060","5180","5040","5140","892100","5140"
"2018-02-06","4875","4920","4755","4890","1196500","4890"
"2018-02-07","4540","4585","4360","4375","3647100","4375"
"2018-02-08","4400","4560","4395","4555","1402000","4555"
"2018-02-09","4360","4460","4340","4460","1085800","4460"
"2018-02-13","4460","4480","4355","4370","1089400","4370"
"2018-02-14","4320","4330","4215","4260","1237000","4260"
"2018-02-15","4270","4330","4225","4295","870700","4295"
"2018-02-16","4350","4435","4305","4395","720300","4395"
"2018-02-19","4465","4515","4415","4465","884500","4465"
"2018-02-20","4465","4475","4365","4375","483200","4375"
"2018-02-21","4395","4445","4345","4440","470500","4440"
"2018-02-22","4435","4470","4365","4455","775300","4455"
"2018-02-23","4420","4515","4420","4490","751400","4490"
"2018-02-26","4590","4640","4565","4580","1024400","4580"
"2018-02-27","4610","4685","4610","4630","786100","4630"
"2018-02-28","4700","4710","4580","4580","953100","4580"
"2018-03-01","4560","4620","4535","4590","679700","4590"
"2018-03-02","4535","4590","4525","4535","691000","4535"
"2018-03-05","4555","4570","4460","4470","398200","4470"
"2018-03-06","4555","4650","4545","4585","427400","4585"
"2018-03-07","4550","4690","4535","4605","678000","4605"
"2018-03-08","4615","4705","4570","4700","488800","4700"
"2018-03-09","4840","4870","4705","4760","890600","4760"
"2018-03-12","4740","4740","4570","4610","821400","4610"
"2018-03-13","4610","4740","4595","4735","545700","4735"
"2018-03-14","4665","4680","4595","4645","430200","4645"
"2018-03-15","4690","4775","4605","4765","699300","4765"
"2018-03-16","4810","4870","4795","4855","811500","4855"
"2018-03-19","4800","4855","4765","4825","600900","4825"
"2018-03-20","4800","4845","4730","4830","505200","4830"
"2018-03-22","4885","4970","4870","4970","781600","4970"
"2018-03-23","4845","4865","4675","4685","806000","4685"
"2018-03-26","4630","4750","4595","4745","631600","4745"
"2018-03-27","4840","4865","4805","4860","550700","4860"
"2018-03-28","4765","4865","4760","4820","511100","4820"
"2018-03-29","4820","4825","4695","4745","556200","4745"
"2018-03-30","4810","4900","4770","4870","731500","4870"
"2018-04-02","4875","4890","4805","4815","359300","4815"
"2018-04-03","4720","4770","4680","4750","551300","4750"
"2018-04-04","4705","4730","4660","4710","524900","4710"
"2018-04-05","4745","4785","4690","4700","576100","4700"
"2018-04-06","4710","4730","4630","4660","557200","4660"
"2018-04-09","4615","4660","4560","4625","630900","4625"
"2018-04-10","4615","4635","4490","4545","1189300","4545"
"2018-04-11","4565","4625","4470","4520","841900","4520"
"2018-04-12","4545","4590","4505","4510","442800","4510"
"2018-04-13","4515","4540","4480","4490","629500","4490"
"2018-04-16","4495","4575","4490","4550","452900","4550"
"2018-04-17","4540","4585","4525","4560","481100","4560"
"2018-04-18","4560","4625","4520","4615","432700","4615"
"2018-04-19","4605","4610","4535","4550","436000","4550"
"2018-04-20","4550","4605","4550","4565","343600","4565"
"2018-04-23","4500","4530","4475","4520","443900","4520"
"2018-04-24","4545","4615","4500","4605","647400","4605"
"2018-04-25","4600","4680","4595","4650","631400","4650"
"2018-04-26","4680","4690","4575","4590","482000","4590"
"2018-04-27","4610","4665","4550","4560","548400","4560"
"2018-05-01","4560","4660","4540","4635","433900","4635"
"2018-05-02","4675","4685","4610","4645","283100","4645"
"2018-05-07","4635","4690","4610","4675","314600","4675"
"2018-05-08","4620","4705","4555","4690","479700","4690"
"2018-05-09","4740","4850","4725","4730","599600","4730"
"2018-05-10","4780","4870","4780","4840","584700","4840"
"2018-05-11","4895","5010","4885","4960","1060200","4960"
"2018-05-14","4890","5290","4890","5190","1292900","5190"
"2018-05-15","5180","5190","5070","5090","742100","5090"
"2018-05-16","5090","5130","4935","4985","638500","4985"
"2018-05-17","5010","5060","4975","5040","270800","5040"
"2018-05-18","5040","5120","5020","5110","257900","5110"
"2018-05-21","5080","5180","5070","5160","378700","5160"
"2018-05-22","5250","5270","5130","5140","319400","5140"
"2018-05-23","5190","5350","5190","5290","656300","5290"
"2018-05-24","5270","5300","5190","5260","534700","5260"
