9684 東証1部 (株)スクウェア・エニックス・ホールディングス（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2014-01-06","1839","1854","1822","1840","581900","1840"
"2014-01-07","1823","1831","1804","1821","396000","1821"
"2014-01-08","1842","1860","1831","1860","622600","1860"
"2014-01-09","1859","1859","1818","1828","528400","1828"
"2014-01-10","1831","1836","1814","1835","738900","1835"
"2014-01-14","1800","1806","1742","1751","1126900","1751"
"2014-01-15","1771","1777","1733","1747","925000","1747"
"2014-01-16","1759","1782","1749","1753","1126300","1753"
"2014-01-17","1742","1752","1721","1734","749300","1734"
"2014-01-20","1726","1745","1714","1722","500400","1722"
"2014-01-21","1755","1757","1707","1710","793600","1710"
"2014-01-22","1699","1704","1657","1692","1749500","1692"
"2014-01-23","1699","1714","1678","1681","1007000","1681"
"2014-01-24","1881","2081","1760","2081","7253600","2081"
"2014-01-27","2581","2581","2581","2581","692200","2581"
"2014-01-28","2731","3050","2523","2669","80935300","2669"
"2014-01-29","2740","2979","2680","2830","67772400","2830"
"2014-01-30","2773","2828","2652","2763","28957300","2763"
"2014-01-31","2722","2897","2673","2895","34612700","2895"
"2014-02-03","2907","2944","2743","2770","29910900","2770"
"2014-02-04","2570","2664","2434","2434","18481500","2434"
"2014-02-05","2520","2585","2149","2304","28173400","2304"
"2014-02-06","2454","2644","2438","2576","26002500","2576"
"2014-02-07","2560","2600","2365","2397","16660000","2397"
"2014-02-10","2489","2554","2455","2534","13783700","2534"
"2014-02-12","2544","2566","2421","2437","8878000","2437"
"2014-02-13","2370","2408","2333","2359","6530700","2359"
"2014-02-14","2381","2467","2320","2449","7909200","2449"
"2014-02-17","2400","2429","2325","2375","5231400","2375"
"2014-02-18","2398","2480","2380","2460","7102300","2460"
"2014-02-19","2427","2519","2427","2491","6027000","2491"
"2014-02-20","2466","2480","2386","2407","4284300","2407"
"2014-02-21","2407","2468","2406","2426","3104900","2426"
"2014-02-24","2448","2448","2372","2396","3003400","2396"
"2014-02-25","2421","2429","2361","2370","2759400","2370"
"2014-02-26","2330","2396","2327","2363","2379000","2363"
"2014-02-27","2360","2420","2344","2352","2239800","2352"
"2014-02-28","2340","2375","2270","2312","2454800","2312"
"2014-03-03","2231","2290","2180","2273","2387300","2273"
"2014-03-04","2240","2264","2213","2229","1769600","2229"
"2014-03-05","2261","2400","2237","2322","5971100","2322"
"2014-03-06","2302","2346","2265","2329","2779000","2329"
"2014-03-07","2429","2494","2377","2458","7898200","2458"
"2014-03-10","2420","2448","2396","2400","2927000","2400"
"2014-03-11","2370","2380","2308","2322","2677200","2322"
"2014-03-12","2291","2310","2246","2254","2369100","2254"
"2014-03-13","2241","2281","2241","2255","1431400","2255"
"2014-03-14","2205","2217","2120","2136","2573600","2136"
"2014-03-17","2110","2146","2056","2068","2276800","2068"
"2014-03-18","2090","2108","2035","2089","2723600","2089"
"2014-03-19","2075","2107","2045","2062","1936400","2062"
"2014-03-20","2037","2090","1962","2021","4208800","2021"
"2014-03-24","2050","2180","2040","2139","4843700","2139"
"2014-03-25","2104","2129","1994","2001","3631900","2001"
"2014-03-26","1980","2013","1939","1964","2841300","1964"
"2014-03-27","1942","1960","1895","1946","1932100","1946"
"2014-03-28","2050","2121","2028","2087","5904400","2087"
"2014-03-31","2080","2125","2061","2125","2455400","2125"
"2014-04-01","2094","2125","2035","2038","1833400","2038"
"2014-04-02","2047","2093","2025","2061","1586200","2061"
"2014-04-03","2061","2075","1971","1989","3210100","1989"
"2014-04-04","1962","1976","1903","1964","2268300","1964"
"2014-04-07","1949","2000","1927","1952","1530900","1952"
"2014-04-08","1925","1950","1908","1916","1305600","1916"
"2014-04-09","1909","1947","1881","1905","2021700","1905"
"2014-04-10","1945","1953","1828","1836","3468900","1836"
"2014-04-11","1756","1845","1744","1837","3063000","1837"
"2014-04-14","1806","1823","1778","1789","1553900","1789"
"2014-04-15","1790","1800","1691","1728","4800600","1728"
"2014-04-16","1741","1754","1672","1685","4587100","1685"
"2014-04-17","1765","1837","1738","1780","11076200","1780"
"2014-04-18","1768","1787","1702","1743","3303200","1743"
"2014-04-21","1738","1771","1712","1755","1708400","1755"
"2014-04-22","1773","1790","1721","1730","2034900","1730"
"2014-04-23","1725","1744","1714","1733","1278000","1733"
"2014-04-24","1740","1743","1664","1687","2425800","1687"
"2014-04-25","1677","1730","1673","1714","1922200","1714"
"2014-04-28","1701","1716","1686","1693","1451700","1693"
"2014-04-30","1690","1708","1630","1638","1560000","1638"
"2014-05-01","1650","1679","1611","1653","2277300","1653"
"2014-05-02","1640","1685","1640","1661","1355900","1661"
"2014-05-07","1650","1655","1628","1637","1346700","1637"
"2014-05-08","1642","1660","1612","1629","1389000","1629"
"2014-05-09","1603","1629","1580","1613","1427000","1613"
"2014-05-12","1653","1691","1416","1423","6960400","1423"
"2014-05-13","1513","1566","1472","1544","4382300","1544"
"2014-05-14","1544","1592","1500","1585","2662000","1585"
"2014-05-15","1585","1660","1570","1599","3514700","1599"
"2014-05-16","1574","1600","1518","1547","1727700","1547"
"2014-05-19","1507","1540","1490","1510","1526400","1510"
"2014-05-20","1520","1554","1491","1547","1406500","1547"
"2014-05-21","1522","1548","1513","1542","703900","1542"
"2014-05-22","1553","1559","1488","1512","1887400","1512"
"2014-05-23","1522","1523","1437","1447","3104600","1447"
"2014-05-26","1473","1566","1451","1533","3037000","1533"
"2014-05-27","1533","1539","1503","1508","1248400","1508"
"2014-05-28","1501","1514","1476","1489","1968600","1489"
"2014-05-29","1486","1506","1469","1482","1379600","1482"
"2014-05-30","1498","1595","1498","1585","4365100","1585"
"2014-06-02","1602","1626","1568","1597","2682800","1597"
"2014-06-03","1621","1685","1617","1647","3320700","1647"
"2014-06-04","1687","1692","1626","1633","2750700","1633"
"2014-06-05","1672","1750","1647","1712","4351900","1712"
"2014-06-06","1700","1711","1656","1673","2154900","1673"
"2014-06-09","1704","1710","1670","1680","1291800","1680"
"2014-06-10","1689","1691","1625","1642","1270000","1642"
"2014-06-11","1633","1658","1602","1650","1794000","1650"
"2014-06-12","1661","1687","1653","1672","1366900","1672"
"2014-06-13","1667","1746","1653","1699","2808400","1699"
"2014-06-16","1675","1696","1651","1663","1252500","1663"
"2014-06-17","1665","1695","1648","1679","1531600","1679"
"2014-06-18","1694","1808","1691","1791","4709800","1791"
"2014-06-19","1800","1806","1746","1750","2143700","1750"
"2014-06-20","1760","1777","1741","1759","1952100","1759"
"2014-06-23","1763","1773","1748","1757","861700","1757"
"2014-06-24","1750","1763","1742","1752","1001500","1752"
"2014-06-25","1750","1755","1722","1746","1275100","1746"
"2014-06-26","1753","1760","1727","1748","1037600","1748"
"2014-06-27","1756","1795","1721","1750","1907800","1750"
"2014-06-30","1742","1799","1733","1793","1316700","1793"
"2014-07-01","1873","1987","1870","1910","5801600","1910"
"2014-07-02","1897","1924","1872","1892","1842900","1892"
"2014-07-03","1880","1943","1879","1938","1432900","1938"
"2014-07-04","1940","1980","1932","1949","1719200","1949"
"2014-07-07","1989","2028","1946","1962","2118700","1962"
"2014-07-08","1941","1962","1920","1950","1318600","1950"
