9684 東証1部 (株)スクウェア・エニックス・ホールディングス（情報・通信）,,,,,
"2015-08-13","3310","3370","3310","3350","768000","3350"
"2015-08-14","3350","3390","3335","3360","593800","3360"
"2015-08-17","3375","3400","3285","3325","695800","3325"
"2015-08-18","3340","3340","3300","3310","423400","3310"
"2015-08-19","3275","3300","3230","3235","639900","3235"
"2015-08-20","3280","3330","3260","3275","623000","3275"
"2015-08-21","3180","3210","3125","3150","818300","3150"
"2015-08-24","3060","3145","2805","2831","2854800","2831"
"2015-08-25","2781","3030","2720","2882","3716500","2882"
"2015-08-26","2898","3040","2885","3030","1156400","3030"
"2015-08-27","3090","3120","3050","3065","1272300","3065"
"2015-08-28","3160","3245","3145","3195","1064200","3195"
"2015-08-31","3135","3195","3100","3165","847000","3165"
"2015-09-01","3160","3210","3110","3115","1265000","3115"
"2015-09-02","3045","3180","3025","3100","944400","3100"
"2015-09-03","3160","3170","3085","3115","1023300","3115"
"2015-09-04","3180","3200","3100","3145","1205500","3145"
"2015-09-07","3135","3155","3060","3135","988200","3135"
"2015-09-08","3150","3160","2935","2949","1580200","2949"
"2015-09-09","3050","3080","2969","3080","1297300","3080"
"2015-09-10","2975","3055","2965","3055","672100","3055"
"2015-09-11","3125","3240","3090","3205","1324000","3205"
"2015-09-14","3195","3245","3170","3210","710000","3210"
"2015-09-15","3210","3260","3160","3185","683500","3185"
"2015-09-16","3175","3190","3005","3050","1880000","3050"
"2015-09-17","3070","3085","3010","3035","824400","3035"
"2015-09-18","3030","3030","2942","2950","1378200","2950"
"2015-09-24","2992","3015","2942","2942","808600","2942"
"2015-09-25","2940","2940","2835","2934","1067300","2934"
"2015-09-28","2959","2973","2869","2920","1082500","2920"
"2015-09-29","2905","2985","2872","2878","1916500","2878"
"2015-09-30","2950","2979","2910","2961","728400","2961"
"2015-10-01","2939","2979","2908","2946","761900","2946"
"2015-10-02","2922","2962","2875","2903","1369400","2903"
"2015-10-05","2925","3090","2925","3045","1782100","3045"
"2015-10-06","3115","3120","3030","3035","761700","3035"
"2015-10-07","3005","3060","2998","3045","571600","3045"
"2015-10-08","3055","3080","3010","3015","662100","3015"
"2015-10-09","3070","3140","3050","3130","1419300","3130"
"2015-10-13","3105","3155","3080","3085","1057300","3085"
"2015-10-14","3125","3180","3100","3165","2066000","3165"
"2015-10-15","3125","3225","3100","3175","1727100","3175"
"2015-10-16","3200","3270","3185","3230","1027200","3230"
"2015-10-19","3300","3340","3190","3260","1673000","3260"
"2015-10-20","3255","3295","3195","3230","1333700","3230"
"2015-10-21","3215","3295","3190","3270","1435200","3270"
"2015-10-22","3295","3365","3285","3330","1632700","3330"
"2015-10-23","3380","3380","3240","3250","1879500","3250"
"2015-10-26","3215","3265","3130","3240","1485300","3240"
"2015-10-27","3280","3340","3260","3275","1056800","3275"
"2015-10-28","3260","3320","3240","3255","841600","3255"
"2015-10-29","3285","3285","3180","3240","1502200","3240"
"2015-10-30","3255","3310","3225","3280","1092900","3280"
"2015-11-02","3285","3320","3255","3290","1130400","3290"
"2015-11-04","3325","3335","3220","3260","1457600","3260"
"2015-11-05","3285","3290","3250","3280","597100","3280"
"2015-11-06","3275","3280","3135","3175","1651900","3175"
"2015-11-09","2915","3140","2890","3125","4456200","3125"
"2015-11-10","3095","3120","3015","3065","1913800","3065"
"2015-11-11","3055","3135","3055","3110","989000","3110"
"2015-11-12","3065","3100","2982","2986","1844100","2986"
"2015-11-13","2953","2996","2939","2960","1479400","2960"
"2015-11-16","2891","2931","2877","2912","1623500","2912"
"2015-11-17","2942","2947","2901","2916","1361800","2916"
"2015-11-18","2933","2969","2843","2857","2493300","2857"
"2015-11-19","2929","2963","2910","2938","1673600","2938"
"2015-11-20","2946","2954","2917","2939","939400","2939"
"2015-11-24","2929","2934","2884","2927","1425600","2927"
"2015-11-25","2926","2968","2901","2904","1155600","2904"
"2015-11-26","2905","2936","2902","2915","1307200","2915"
"2015-11-27","2930","2931","2895","2901","985700","2901"
"2015-11-30","2895","2896","2724","2799","3941300","2799"
"2015-12-01","2767","2846","2740","2806","1951500","2806"
"2015-12-02","2825","2944","2825","2921","2693900","2921"
"2015-12-03","2948","3055","2948","3050","3091800","3050"
"2015-12-04","2982","3020","2968","2974","1454400","2974"
"2015-12-07","2992","3050","2992","3025","1291600","3025"
"2015-12-08","3035","3045","2976","2986","1159900","2986"
"2015-12-09","2962","2991","2933","2946","832800","2946"
"2015-12-10","2897","2913","2859","2875","1270200","2875"
"2015-12-11","2846","2911","2846","2901","1574600","2901"
"2015-12-14","2848","2860","2815","2858","1858500","2858"
"2015-12-15","2887","2954","2851","2868","1532400","2868"
"2015-12-16","3020","3040","2957","2999","1858100","2999"
"2015-12-17","3045","3050","2999","3035","1389400","3035"
"2015-12-18","3050","3075","2961","2967","1329800","2967"
"2015-12-21","2943","2956","2899","2940","933400","2940"
"2015-12-22","2950","2956","2896","2896","723200","2896"
"2015-12-24","2925","2925","2831","2838","1477700","2838"
"2015-12-25","2818","2850","2817","2830","511200","2830"
"2015-12-28","2846","2895","2845","2877","494300","2877"
"2015-12-29","2859","2957","2859","2947","911200","2947"
"2015-12-30","2951","2967","2923","2935","883900","2935"
