9684 東証1部 (株)スクウェア・エニックス・ホールディングス（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2015-01-05","2502","2525","2486","2499","1243900","2499"
"2015-01-06","2465","2482","2435","2440","1057500","2440"
"2015-01-07","2421","2443","2407","2423","857100","2423"
"2015-01-08","2437","2471","2428","2465","920300","2465"
"2015-01-09","2475","2480","2427","2440","1176200","2440"
"2015-01-13","2402","2438","2396","2425","1010700","2425"
"2015-01-14","2437","2458","2404","2427","1752800","2427"
"2015-01-15","2415","2429","2389","2399","1861300","2399"
"2015-01-16","2385","2454","2379","2452","1724600","2452"
"2015-01-19","2497","2563","2488","2502","3427400","2502"
"2015-01-20","2509","2624","2506","2599","3313300","2599"
"2015-01-21","2605","2649","2502","2511","3612000","2511"
"2015-01-22","2511","2644","2508","2630","4294100","2630"
"2015-01-23","2631","2696","2621","2640","2499500","2640"
"2015-01-26","2653","2679","2591","2599","1794200","2599"
"2015-01-27","2629","2633","2584","2628","1529600","2628"
"2015-01-28","2615","2630","2596","2609","856000","2609"
"2015-01-29","2590","2620","2563","2563","867400","2563"
"2015-01-30","2593","2640","2579","2605","1297000","2605"
"2015-02-02","2594","2606","2540","2586","1023500","2586"
"2015-02-03","2580","2585","2514","2523","1301900","2523"
"2015-02-04","2546","2595","2530","2558","1616100","2558"
"2015-02-05","2608","2610","2540","2552","1926200","2552"
"2015-02-06","2569","2591","2537","2545","1229500","2545"
"2015-02-09","2544","2555","2451","2494","1639100","2494"
"2015-02-10","2500","2517","2471","2495","591200","2495"
"2015-02-12","2520","2525","2449","2457","1175000","2457"
"2015-02-13","2452","2464","2380","2396","1752700","2396"
"2015-02-16","2373","2382","2322","2328","1790700","2328"
"2015-02-17","2313","2371","2294","2368","2174900","2368"
"2015-02-18","2368","2385","2326","2337","1519700","2337"
"2015-02-19","2325","2364","2308","2347","2480000","2347"
"2015-02-20","2340","2388","2330","2337","1142900","2337"
"2015-02-23","2340","2386","2337","2359","986400","2359"
"2015-02-24","2375","2387","2340","2354","1256700","2354"
"2015-02-25","2363","2432","2352","2415","1507200","2415"
"2015-02-26","2437","2453","2412","2450","1714400","2450"
"2015-02-27","2455","2471","2426","2447","1257900","2447"
"2015-03-02","2469","2479","2455","2466","1022500","2466"
"2015-03-03","2467","2474","2408","2429","1092500","2429"
"2015-03-04","2379","2414","2359","2391","1127100","2391"
"2015-03-05","2375","2409","2362","2385","735500","2385"
"2015-03-06","2380","2380","2315","2336","1858700","2336"
"2015-03-09","2332","2382","2325","2375","1000300","2375"
"2015-03-10","2381","2384","2327","2331","789300","2331"
"2015-03-11","2321","2363","2319","2348","894000","2348"
"2015-03-12","2350","2358","2310","2315","1299900","2315"
"2015-03-13","2316","2319","2210","2275","2843400","2275"
"2015-03-16","2340","2398","2318","2378","2423500","2378"
"2015-03-17","2369","2384","2332","2349","1618300","2349"
"2015-03-18","2383","2458","2366","2407","2004500","2407"
"2015-03-19","2475","2517","2430","2447","2389200","2447"
"2015-03-20","2470","2536","2453","2518","2821300","2518"
"2015-03-23","2518","2534","2476","2504","1675700","2504"
"2015-03-24","2504","2534","2479","2520","1021400","2520"
"2015-03-25","2509","2527","2491","2510","853700","2510"
"2015-03-26","2500","2538","2490","2523","1116400","2523"
"2015-03-27","2512","2592","2501","2531","1453500","2531"
"2015-03-30","2544","2633","2539","2613","1943500","2613"
"2015-03-31","2590","2605","2555","2573","1347200","2573"
"2015-04-01","2589","2596","2532","2553","962000","2553"
"2015-04-02","2560","2588","2545","2582","1075200","2582"
"2015-04-03","2578","2607","2575","2598","579900","2598"
"2015-04-06","2585","2623","2581","2587","566100","2587"
"2015-04-07","2583","2597","2561","2590","660800","2590"
"2015-04-08","2600","2622","2600","2612","563800","2612"
"2015-04-09","2611","2621","2585","2600","492200","2600"
"2015-04-10","2606","2613","2577","2594","480900","2594"
"2015-04-13","2599","2599","2525","2574","716900","2574"
"2015-04-14","2570","2581","2552","2567","567800","2567"
"2015-04-15","2565","2565","2516","2530","719000","2530"
"2015-04-16","2540","2598","2540","2588","1047300","2588"
"2015-04-17","2585","2605","2568","2580","779900","2580"
"2015-04-20","2575","2586","2542","2551","708400","2551"
"2015-04-21","2552","2608","2550","2552","763700","2552"
"2015-04-22","2535","2632","2531","2628","1250000","2628"
"2015-04-23","2645","2684","2637","2646","1142000","2646"
"2015-04-24","2631","2632","2571","2597","674400","2597"
"2015-04-27","2613","2623","2584","2592","462800","2592"
"2015-04-28","2582","2592","2566","2579","455900","2579"
"2015-04-30","2550","2570","2522","2530","518400","2530"
"2015-05-01","2503","2559","2502","2534","654900","2534"
"2015-05-07","2500","2562","2498","2556","851600","2556"
"2015-05-08","2556","2568","2521","2539","902700","2539"
"2015-05-11","2540","2582","2532","2561","783800","2561"
"2015-05-12","2550","2590","2488","2519","1263300","2519"
"2015-05-13","2600","2742","2591","2703","3669800","2703"
"2015-05-14","2686","2686","2602","2606","1451500","2606"
"2015-05-15","2634","2639","2574","2608","1135900","2608"
"2015-05-18","2596","2598","2533","2540","1371800","2540"
"2015-05-19","2589","2589","2537","2562","1007500","2562"
"2015-05-20","2570","2584","2536","2563","631600","2563"
"2015-05-21","2570","2577","2530","2568","1165700","2568"
"2015-05-22","2570","2627","2570","2605","1035600","2605"
"2015-05-25","2620","2678","2616","2636","989500","2636"
"2015-05-26","2636","2636","2578","2583","696000","2583"
"2015-05-27","2603","2638","2577","2629","1057800","2629"
"2015-05-28","2679","2724","2662","2712","1999100","2712"
"2015-05-29","2715","2748","2677","2717","1247100","2717"
"2015-06-01","2740","2792","2735","2784","1273200","2784"
"2015-06-02","2789","2825","2755","2770","952000","2770"
"2015-06-03","2750","2786","2749","2763","577000","2763"
"2015-06-04","2800","2809","2765","2780","460000","2780"
"2015-06-05","2829","2829","2754","2777","709000","2777"
"2015-06-08","2970","2981","2890","2914","3235700","2914"
"2015-06-09","2880","2905","2818","2833","1959000","2833"
"2015-06-10","2848","2855","2783","2787","1054900","2787"
"2015-06-11","2779","2828","2759","2817","831100","2817"
"2015-06-12","2846","2896","2825","2889","1454500","2889"
"2015-06-15","2900","2921","2843","2873","1622000","2873"
"2015-06-16","2856","3040","2847","2956","4914000","2956"
"2015-06-17","2899","2914","2775","2832","3555300","2832"
"2015-06-18","2832","2838","2778","2786","1328900","2786"
"2015-06-19","2800","2804","2726","2753","1840700","2753"
"2015-06-22","2753","2789","2732","2769","882500","2769"
"2015-06-23","2789","2842","2765","2842","1076300","2842"
"2015-06-24","2844","2845","2777","2787","1087400","2787"
"2015-06-25","2789","2810","2767","2770","607400","2770"
"2015-06-26","2800","2832","2776","2785","680500","2785"
"2015-06-29","2704","2771","2697","2706","745500","2706"
"2015-06-30","2712","2729","2685","2709","856200","2709"
"2015-07-01","2734","2809","2732","2806","938600","2806"
"2015-07-02","2837","2922","2828","2868","2145600","2868"
"2015-07-03","2876","2932","2864","2897","1285300","2897"
"2015-07-06","2899","2928","2861","2892","1310200","2892"
"2015-07-07","2934","2948","2903","2934","1130300","2934"
"2015-07-08","2901","2902","2823","2833","1446000","2833"
"2015-07-09","2750","2850","2687","2840","1135800","2840"
"2015-07-10","2819","2904","2816","2863","1103900","2863"
"2015-07-13","2868","2912","2823","2893","919900","2893"
"2015-07-14","2929","3115","2906","3020","3013800","3020"
"2015-07-15","3090","3180","3070","3115","2240700","3115"
"2015-07-16","3085","3175","3065","3150","1778700","3150"
"2015-07-17","3125","3185","3110","3185","1388800","3185"
"2015-07-21","3190","3225","3150","3170","1212800","3170"
"2015-07-22","3150","3160","3120","3120","784900","3120"
"2015-07-23","3105","3170","3100","3155","1039100","3155"
"2015-07-24","3180","3230","3135","3215","1668100","3215"
"2015-07-27","3285","3315","3170","3210","2475800","3210"
"2015-07-28","3185","3255","3150","3230","1616900","3230"
"2015-07-29","3265","3265","3155","3210","1600800","3210"
"2015-07-30","3240","3245","3160","3175","912500","3175"
"2015-07-31","3195","3205","3080","3120","1784600","3120"
"2015-08-03","3095","3120","3060","3070","1032800","3070"
"2015-08-04","3075","3125","3055","3080","807500","3080"
"2015-08-05","3100","3150","3065","3105","565700","3105"
"2015-08-06","3120","3195","3075","3150","945700","3150"
"2015-08-07","3220","3280","3215","3240","1714500","3240"
"2015-08-10","3200","3275","3165","3265","872600","3265"
"2015-08-11","3300","3300","3200","3235","594500","3235"
"2015-08-12","3300","3410","3295","3370","2126100","3370"
